Product_ID,Product_Name,Category,Attribute,Carbon_Footprint_kgCO2e,Water_Usage_Liters,Resource_Sourcing,Manufacturing_Impact,Certification,Compliance_with_Standards,User_Preference,Price_Range_USD,Availability,Brand
15300,EcoSmart LED Lamp,Home Appliances,Renewable Material,58.94,15.71,Sustainable,Low,Fair Trade,None,Organic,328.47,In Stock,SustainCo
10299,GreenLife Gluten-Free Pasta,Food,Low-Waste,7.2,199.82,Sustainable,High,USDA Organic,ISO 14001,Energy Efficient,278.52,In Stock,GreenChoice
25574,PureEarth Vegan Chocolate,Food,Energy-Efficient,23.92,27.43,Sustainable,High,Energy Star,ISO 14001,Organic,32.38,Out of Stock,EnviroGoods
18751,PureEarth Laptop,Electronics,Biodegradable,4.9,83.51,Sustainable,Medium,FSC,ISO 14001,Low Carbon,53.37,Out of Stock,NaturePro
19299,SustainPlus Hemp Jacket,Clothing,Recyclable,83.31,105.92,Sustainable,High,USDA Organic,None,Energy Efficient,80.5,Out of Stock,CleanEarth
11498,EcoEssentials Organic Coffee,Food,Renewable Material,34.06,11.35,Non-Sustainable,High,Fair Trade,ISO 14001,Organic,453.75,Out of Stock,GreenChoice
42251,SustainPlus Smart Thermostat,Electronics,Recyclable,74.39,107.19,Sustainable,Medium,Energy Star,None,Organic,43.06,Out of Stock,SustainCo
17502,EcoEssentials Organic T-Shirt,Clothing,Biodegradable,1.82,43.06,Sustainable,Medium,None,ISO 14001,Recyclable,490.14,Out of Stock,CleanEarth
24291,PureEarth Vegan Lip Balm,Beauty,Recyclable,1.43,68.87,Sustainable,High,FSC,ISO 14001,Low Carbon,197.75,Out of Stock,SustainCo
8591,SustainPlus Smart Thermostat,Electronics,Renewable Material,83.95,118.92,Non-Sustainable,Low,FSC,None,Low Carbon,472.07,Out of Stock,CleanEarth
8039,EcoEssentials Organic T-Shirt,Clothing,Biodegradable,80.84,149.56,Partially Sustainable,High,None,None,Energy Efficient,112.43,Out of Stock,CleanEarth
25262,EcoSmart LED Lamp,Home Appliances,Low-Waste,35.69,22.85,Non-Sustainable,Medium,USDA Organic,None,Energy Efficient,377.43,Out of Stock,EcoBrand
32635,PureEarth Recycled Paper,Office Supplies,Low-Waste,2.8,94.81,Partially Sustainable,Low,USDA Organic,ISO 14001,Eco-Certified,395.8,Out of Stock,CleanEarth
15074,EcoSmart LED Lamp,Home Appliances,Biodegradable,20.22,104.59,Partially Sustainable,High,None,None,Low Carbon,457.58,Out of Stock,CleanEarth
44175,PureEarth Vegan Lip Balm,Beauty,Recyclable,77.94,187.72,Partially Sustainable,High,None,None,Organic,278.58,Out of Stock,EcoBrand
31917,SustainPlus Water Purifier,Home Appliances,Renewable Material,63.83,13.37,Non-Sustainable,High,None,ISO 14001,Low Carbon,16.25,Out of Stock,SustainCo
30621,SustainPlus Eco-Friendly Stapler,Office Supplies,Biodegradable,16.12,115.54,Non-Sustainable,High,Fair Trade,None,Eco-Certified,355.46,Out of Stock,GreenChoice
12562,GreenLife Solar Lantern,Outdoor,Organic,12.64,192.52,Partially Sustainable,Medium,Fair Trade,None,Organic,491.37,Out of Stock,EnviroGoods
40302,EcoSmart Aloe Vera Gel,Beauty,Organic,13.06,187.56,Non-Sustainable,High,FSC,ISO 14001,Organic,143.65,Out of Stock,NaturePro
14717,EcoSmart LED Lamp,Home Appliances,Organic,71.84,14.02,Non-Sustainable,High,Energy Star,ISO 14001,Low Carbon,168.17,In Stock,EcoBrand
27559,EcoSmart Reusable Planner,Office Supplies,Renewable Material,78.81,73.5,Sustainable,Medium,FSC,ISO 14001,Organic,426.92,In Stock,NaturePro
32564,EcoSmart Reusable Planner,Office Supplies,Energy-Efficient,70.68,124.54,Non-Sustainable,High,None,None,Eco-Certified,495.13,In Stock,EcoBrand
31388,PureEarth Recycled Paper,Office Supplies,Low-Waste,97.86,153.74,Sustainable,Low,None,ISO 14001,Organic,344.36,In Stock,NaturePro
45650,GreenLife Cotton Socks,Clothing,Renewable Material,10.37,169.76,Sustainable,Low,None,ISO 14001,Low Carbon,79.8,In Stock,CleanEarth
22573,SustainPlus Smart Thermostat,Electronics,Low-Waste,12.87,164.81,Sustainable,Medium,USDA Organic,ISO 14001,Low Carbon,364.87,Out of Stock,EnviroGoods
48428,EcoEssentials Natural Shampoo,Beauty,Low-Waste,80.62,93.2,Partially Sustainable,Low,Energy Star,None,Eco-Certified,262.31,In Stock,GreenChoice
24905,PureEarth Recycled Paper,Office Supplies,Recyclable,78.36,169.65,Non-Sustainable,Low,None,ISO 14001,Low Carbon,498.46,In Stock,NaturePro
27684,EcoEssentials Natural Shampoo,Beauty,Recyclable,35.4,68.83,Partially Sustainable,Medium,Fair Trade,ISO 14001,Eco-Certified,156.77,Out of Stock,NaturePro
43496,SustainPlus Cruelty-Free Moisturizer,Beauty,Energy-Efficient,69.01,66.8,Partially Sustainable,High,None,None,Recyclable,276.66,In Stock,CleanEarth
25736,SustainPlus Hiking Backpack,Outdoor,Renewable Material,97.91,59.33,Partially Sustainable,Medium,Fair Trade,None,Low Carbon,135.47,Out of Stock,EcoBrand
21376,GreenLife LED Light Bulb,Electronics,Energy-Efficient,7.54,144.11,Sustainable,High,None,ISO 14001,Organic,176.48,In Stock,NaturePro
41310,PureEarth Eco-Friendly Jeans,Clothing,Energy-Efficient,78.37,121.09,Partially Sustainable,Medium,USDA Organic,None,Recyclable,366.42,Out of Stock,SustainCo
7768,PureEarth Laptop,Electronics,Low-Waste,70.17,118.14,Non-Sustainable,Medium,USDA Organic,None,Eco-Certified,374.0,In Stock,NaturePro
11842,EcoSmart Organic Green Tea,Food,Renewable Material,80.51,195.74,Partially Sustainable,Medium,Energy Star,None,Recyclable,420.35,In Stock,GreenChoice
5764,PureEarth Vegan Lip Balm,Beauty,Energy-Efficient,54.22,68.14,Non-Sustainable,Medium,USDA Organic,ISO 14001,Energy Efficient,38.36,Out of Stock,GreenChoice
8390,EcoEssentials Organic Coffee,Food,Low-Waste,41.98,53.5,Non-Sustainable,Medium,FSC,None,Organic,256.18,In Stock,NaturePro
16693,EcoSmart LED Lamp,Home Appliances,Low-Waste,65.18,194.8,Sustainable,High,Energy Star,None,Organic,278.89,Out of Stock,CleanEarth
33431,EcoSmart Biodegradable Sleeping Bag,Outdoor,Low-Waste,83.55,19.11,Sustainable,Medium,Fair Trade,None,Organic,331.56,In Stock,SustainCo
2954,EcoSmart Recycled Fabric Scarf,Clothing,Biodegradable,33.21,80.53,Partially Sustainable,Low,USDA Organic,None,Low Carbon,342.79,In Stock,SustainCo
11913,SustainPlus Hiking Backpack,Outdoor,Biodegradable,39.29,58.89,Non-Sustainable,Low,USDA Organic,ISO 14001,Recyclable,296.55,Out of Stock,SustainCo
6073,PureEarth Recycled Blender,Home Appliances,Low-Waste,73.29,51.95,Partially Sustainable,Medium,FSC,None,Organic,456.44,In Stock,NaturePro
6322,EcoSmart Biodegradable Sleeping Bag,Outdoor,Recyclable,88.5,191.1,Partially Sustainable,High,Energy Star,ISO 14001,Low Carbon,353.9,In Stock,NaturePro
26773,PureEarth Laptop,Electronics,Low-Waste,45.98,164.62,Non-Sustainable,Low,None,ISO 14001,Organic,381.57,Out of Stock,SustainCo
24748,EcoSmart Biodegradable Sleeping Bag,Outdoor,Biodegradable,16.27,82.51,Sustainable,Low,USDA Organic,None,Low Carbon,383.38,Out of Stock,EnviroGoods
20884,PureEarth Camping Stove,Outdoor,Renewable Material,72.59,135.43,Sustainable,High,FSC,None,Organic,401.12,Out of Stock,NaturePro
11752,PureEarth Vegan Lip Balm,Beauty,Organic,66.1,40.22,Partially Sustainable,High,Energy Star,ISO 14001,Low Carbon,225.33,Out of Stock,GreenChoice
24777,SustainPlus Hemp Jacket,Clothing,Energy-Efficient,96.02,175.3,Non-Sustainable,Low,None,ISO 14001,Organic,301.17,Out of Stock,GreenChoice
20643,SustainPlus Water Purifier,Home Appliances,Biodegradable,5.25,86.12,Non-Sustainable,Medium,FSC,None,Eco-Certified,234.99,Out of Stock,CleanEarth
9614,PureEarth Recycled Paper,Office Supplies,Biodegradable,68.87,13.4,Partially Sustainable,Medium,FSC,None,Organic,395.92,Out of Stock,EnviroGoods
45335,EcoSmart Organic Green Tea,Food,Biodegradable,77.31,151.07,Sustainable,Medium,None,None,Organic,303.64,In Stock,GreenChoice
37942,GreenLife Solar Fan,Home Appliances,Renewable Material,63.16,97.39,Non-Sustainable,Low,None,None,Organic,13.06,In Stock,EnviroGoods
2909,PureEarth Vegan Lip Balm,Beauty,Recyclable,53.55,58.43,Partially Sustainable,High,Fair Trade,ISO 14001,Eco-Certified,87.56,Out of Stock,CleanEarth
13785,PureEarth Laptop,Electronics,Renewable Material,71.38,184.03,Sustainable,Low,USDA Organic,None,Recyclable,55.52,In Stock,EcoBrand
26711,GreenLife LED Light Bulb,Electronics,Organic,33.99,198.74,Non-Sustainable,High,USDA Organic,None,Recyclable,54.27,In Stock,EcoBrand
1893,EcoEssentials Organic T-Shirt,Clothing,Low-Waste,95.8,26.29,Non-Sustainable,Medium,Energy Star,None,Eco-Certified,147.06,Out of Stock,EcoBrand
49929,EcoEssentials Solar Charger,Electronics,Biodegradable,64.73,174.67,Non-Sustainable,High,None,ISO 14001,Recyclable,375.13,Out of Stock,EcoBrand
23083,EcoSmart LED Lamp,Home Appliances,Energy-Efficient,23.1,86.27,Non-Sustainable,Medium,Energy Star,None,Low Carbon,441.94,Out of Stock,SustainCo
27940,GreenLife Organic Soap,Beauty,Low-Waste,89.25,135.37,Non-Sustainable,Medium,Energy Star,None,Eco-Certified,61.3,Out of Stock,CleanEarth
41802,EcoEssentials Organic Coffee,Food,Recyclable,91.34,100.02,Non-Sustainable,High,USDA Organic,ISO 14001,Energy Efficient,83.6,Out of Stock,NaturePro
19701,SustainPlus Hemp Jacket,Clothing,Recyclable,33.28,194.94,Non-Sustainable,Medium,Energy Star,None,Recyclable,38.34,In Stock,NaturePro
43114,GreenLife Cotton Socks,Clothing,Energy-Efficient,90.3,20.27,Partially Sustainable,Medium,FSC,None,Energy Efficient,142.32,Out of Stock,NaturePro
27337,PureEarth Camping Stove,Outdoor,Organic,69.02,85.73,Non-Sustainable,Low,FSC,None,Recyclable,274.04,In Stock,SustainCo
36773,PureEarth Vegan Lip Balm,Beauty,Energy-Efficient,37.92,36.06,Non-Sustainable,Low,Energy Star,None,Eco-Certified,479.35,Out of Stock,CleanEarth
3198,PureEarth Recycled Paper,Office Supplies,Renewable Material,39.56,74.04,Non-Sustainable,High,FSC,None,Recyclable,425.85,Out of Stock,EcoBrand
14675,GreenLife Organic Soap,Beauty,Low-Waste,89.1,136.97,Partially Sustainable,Medium,Energy Star,ISO 14001,Low Carbon,172.22,Out of Stock,NaturePro
5093,SustainPlus Hemp Jacket,Clothing,Low-Waste,42.41,129.39,Non-Sustainable,Medium,Energy Star,ISO 14001,Eco-Certified,474.67,Out of Stock,CleanEarth
41665,EcoSmart Aloe Vera Gel,Beauty,Recyclable,22.73,146.42,Partially Sustainable,High,USDA Organic,None,Eco-Certified,335.15,In Stock,CleanEarth
86,GreenLife LED Light Bulb,Electronics,Renewable Material,53.9,151.31,Non-Sustainable,Medium,FSC,ISO 14001,Recyclable,62.76,Out of Stock,CleanEarth
48383,GreenLife Solar Fan,Home Appliances,Renewable Material,78.48,197.93,Partially Sustainable,Low,USDA Organic,None,Organic,369.42,In Stock,GreenChoice
35745,GreenLife Organic Soap,Beauty,Energy-Efficient,16.71,17.7,Sustainable,High,Fair Trade,ISO 14001,Organic,125.18,In Stock,EnviroGoods
32777,EcoSmart Biodegradable Sleeping Bag,Outdoor,Energy-Efficient,77.55,186.82,Sustainable,Low,USDA Organic,None,Energy Efficient,406.29,In Stock,CleanEarth
49132,EcoSmart Reusable Planner,Office Supplies,Renewable Material,4.62,68.3,Sustainable,Low,USDA Organic,None,Recyclable,167.97,In Stock,SustainCo
29704,SustainPlus Almond Milk,Food,Renewable Material,65.13,135.62,Non-Sustainable,High,None,None,Recyclable,302.1,In Stock,SustainCo
14881,EcoSmart Aloe Vera Gel,Beauty,Energy-Efficient,95.97,172.11,Partially Sustainable,High,FSC,None,Organic,67.01,Out of Stock,SustainCo
36171,EcoEssentials Organic T-Shirt,Clothing,Organic,7.29,190.11,Non-Sustainable,Low,FSC,ISO 14001,Low Carbon,162.91,Out of Stock,NaturePro
41646,SustainPlus Water Purifier,Home Appliances,Recyclable,84.76,170.16,Partially Sustainable,High,None,ISO 14001,Organic,114.57,In Stock,GreenChoice
4785,PureEarth Vegan Chocolate,Food,Low-Waste,65.73,146.7,Sustainable,Low,Energy Star,ISO 14001,Eco-Certified,205.18,In Stock,NaturePro
38419,GreenLife LED Light Bulb,Electronics,Energy-Efficient,70.0,92.86,Sustainable,High,None,ISO 14001,Low Carbon,299.2,In Stock,GreenChoice
13223,EcoSmart Reusable Planner,Office Supplies,Recyclable,84.77,16.03,Sustainable,High,None,ISO 14001,Eco-Certified,41.18,In Stock,EcoBrand
32853,SustainPlus Eco-Friendly Stapler,Office Supplies,Renewable Material,35.08,15.35,Sustainable,Medium,FSC,ISO 14001,Low Carbon,18.82,Out of Stock,CleanEarth
21796,GreenLife Solar Fan,Home Appliances,Organic,84.25,17.53,Sustainable,Medium,USDA Organic,None,Eco-Certified,432.8,In Stock,EnviroGoods
122,EcoSmart Recycled Fabric Scarf,Clothing,Energy-Efficient,91.45,73.01,Non-Sustainable,High,None,None,Energy Efficient,443.35,Out of Stock,CleanEarth
39953,GreenLife Cotton Socks,Clothing,Energy-Efficient,6.41,73.32,Non-Sustainable,High,USDA Organic,None,Energy Efficient,124.58,Out of Stock,CleanEarth
45167,EcoSmart Reusable Planner,Office Supplies,Organic,30.47,152.23,Non-Sustainable,High,Fair Trade,None,Organic,476.78,Out of Stock,NaturePro
32642,SustainPlus Smart Thermostat,Electronics,Renewable Material,10.51,149.1,Partially Sustainable,Low,None,None,Energy Efficient,244.93,In Stock,EnviroGoods
27679,GreenLife Organic Soap,Beauty,Energy-Efficient,4.86,120.24,Non-Sustainable,High,Fair Trade,ISO 14001,Energy Efficient,390.38,In Stock,SustainCo
10705,EcoSmart Biodegradable Sleeping Bag,Outdoor,Low-Waste,53.67,79.1,Sustainable,High,Fair Trade,None,Organic,358.96,Out of Stock,EcoBrand
33462,EcoEssentials Recycled Notebook,Office Supplies,Low-Waste,57.78,199.18,Sustainable,High,USDA Organic,ISO 14001,Recyclable,400.59,Out of Stock,CleanEarth
22002,PureEarth Recycled Paper,Office Supplies,Organic,85.24,199.95,Partially Sustainable,Medium,Fair Trade,None,Organic,361.07,In Stock,CleanEarth
30171,EcoEssentials Recycled Tent,Outdoor,Recyclable,66.18,12.0,Sustainable,Medium,None,None,Eco-Certified,282.95,In Stock,EnviroGoods
23961,PureEarth Laptop,Electronics,Biodegradable,33.06,198.65,Non-Sustainable,Medium,Fair Trade,None,Energy Efficient,268.43,In Stock,EnviroGoods
16140,PureEarth Camping Stove,Outdoor,Low-Waste,81.55,18.21,Non-Sustainable,Medium,None,ISO 14001,Organic,137.6,In Stock,EnviroGoods
27023,EcoEssentials Organic T-Shirt,Clothing,Renewable Material,16.62,31.61,Sustainable,High,FSC,ISO 14001,Organic,312.06,Out of Stock,NaturePro
19075,EcoEssentials Recycled Notebook,Office Supplies,Low-Waste,32.43,88.27,Partially Sustainable,High,USDA Organic,None,Energy Efficient,147.14,In Stock,CleanEarth
49285,GreenLife Biodegradable Pen,Office Supplies,Organic,65.8,87.52,Sustainable,Medium,USDA Organic,None,Recyclable,329.94,Out of Stock,EnviroGoods
8599,PureEarth Vegan Lip Balm,Beauty,Energy-Efficient,48.75,84.86,Sustainable,High,None,None,Organic,87.76,Out of Stock,EnviroGoods
14963,GreenLife Cotton Socks,Clothing,Energy-Efficient,27.2,83.07,Sustainable,High,None,None,Organic,46.49,Out of Stock,NaturePro
35255,GreenLife Gluten-Free Pasta,Food,Low-Waste,56.76,48.3,Partially Sustainable,Low,USDA Organic,ISO 14001,Recyclable,473.35,In Stock,NaturePro
30636,SustainPlus Almond Milk,Food,Recyclable,83.37,65.17,Partially Sustainable,Medium,None,None,Energy Efficient,164.18,In Stock,SustainCo
6982,SustainPlus Water Purifier,Home Appliances,Renewable Material,36.25,25.32,Partially Sustainable,High,USDA Organic,ISO 14001,Eco-Certified,491.7,Out of Stock,EnviroGoods
5925,SustainPlus Smart Thermostat,Electronics,Recyclable,19.02,181.94,Sustainable,Medium,None,ISO 14001,Organic,307.14,Out of Stock,CleanEarth
9591,PureEarth Recycled Blender,Home Appliances,Biodegradable,25.88,57.84,Sustainable,High,Energy Star,None,Recyclable,360.89,Out of Stock,GreenChoice
23843,GreenLife Organic Soap,Beauty,Recyclable,34.55,142.19,Non-Sustainable,Medium,None,None,Eco-Certified,267.62,Out of Stock,EnviroGoods
45973,SustainPlus Eco-Friendly Stapler,Office Supplies,Low-Waste,20.62,173.7,Partially Sustainable,High,USDA Organic,None,Recyclable,227.1,Out of Stock,CleanEarth
39624,EcoEssentials Organic Coffee,Food,Renewable Material,92.35,69.15,Sustainable,Medium,FSC,None,Recyclable,156.32,In Stock,SustainCo
49154,EcoEssentials Solar Charger,Electronics,Recyclable,7.12,60.19,Non-Sustainable,Low,FSC,ISO 14001,Organic,281.31,Out of Stock,EnviroGoods
34959,EcoSmart LED Lamp,Home Appliances,Biodegradable,67.73,70.7,Partially Sustainable,High,Fair Trade,ISO 14001,Organic,132.65,Out of Stock,NaturePro
36477,GreenLife Solar Fan,Home Appliances,Biodegradable,25.95,45.66,Partially Sustainable,Medium,Energy Star,ISO 14001,Energy Efficient,470.13,In Stock,EnviroGoods
28631,SustainPlus Water Purifier,Home Appliances,Low-Waste,76.3,11.86,Non-Sustainable,Low,FSC,None,Recyclable,362.21,Out of Stock,NaturePro
12013,EcoSmart Biodegradable Sleeping Bag,Outdoor,Energy-Efficient,70.18,145.12,Sustainable,Medium,FSC,None,Recyclable,451.4,Out of Stock,EnviroGoods
37987,GreenLife Cotton Socks,Clothing,Organic,33.26,60.24,Partially Sustainable,High,FSC,ISO 14001,Eco-Certified,204.31,In Stock,NaturePro
11514,GreenLife Organic Soap,Beauty,Organic,27.38,132.62,Non-Sustainable,Low,Energy Star,ISO 14001,Low Carbon,385.36,Out of Stock,SustainCo
49000,GreenLife Organic Soap,Beauty,Organic,94.17,150.85,Non-Sustainable,Low,Fair Trade,ISO 14001,Eco-Certified,191.21,In Stock,GreenChoice
7195,GreenLife Organic Soap,Beauty,Recyclable,79.33,84.56,Sustainable,Low,FSC,ISO 14001,Low Carbon,198.08,In Stock,EcoBrand
14163,EcoSmart Energy-Efficient Speaker,Electronics,Organic,38.59,196.41,Non-Sustainable,High,Fair Trade,None,Low Carbon,218.6,In Stock,CleanEarth
6138,EcoSmart Biodegradable Sleeping Bag,Outdoor,Low-Waste,70.79,46.0,Non-Sustainable,Medium,None,ISO 14001,Eco-Certified,275.29,Out of Stock,CleanEarth
7349,GreenLife Cotton Socks,Clothing,Biodegradable,47.95,132.65,Partially Sustainable,High,FSC,ISO 14001,Recyclable,312.43,Out of Stock,EnviroGoods
25757,EcoEssentials Natural Shampoo,Beauty,Energy-Efficient,15.49,21.04,Non-Sustainable,Medium,Energy Star,None,Low Carbon,316.57,In Stock,EcoBrand
40916,SustainPlus Hiking Backpack,Outdoor,Energy-Efficient,62.42,184.58,Partially Sustainable,Medium,Fair Trade,ISO 14001,Eco-Certified,242.57,Out of Stock,EnviroGoods
28647,PureEarth Vegan Lip Balm,Beauty,Recyclable,35.43,32.33,Non-Sustainable,Medium,USDA Organic,ISO 14001,Recyclable,278.13,Out of Stock,CleanEarth
31131,SustainPlus Cruelty-Free Moisturizer,Beauty,Renewable Material,90.94,92.68,Sustainable,Medium,USDA Organic,ISO 14001,Organic,9.32,In Stock,EcoBrand
8533,EcoSmart Biodegradable Sleeping Bag,Outdoor,Energy-Efficient,10.84,59.64,Partially Sustainable,High,Fair Trade,None,Eco-Certified,221.08,In Stock,CleanEarth
24098,EcoSmart Energy-Efficient Speaker,Electronics,Recyclable,64.24,41.73,Non-Sustainable,Low,USDA Organic,None,Organic,230.98,In Stock,SustainCo
1856,PureEarth Vegan Lip Balm,Beauty,Organic,41.12,184.79,Non-Sustainable,Low,None,None,Low Carbon,359.64,In Stock,SustainCo
35376,EcoEssentials Solar Charger,Electronics,Organic,54.62,43.86,Partially Sustainable,Medium,FSC,ISO 14001,Recyclable,196.31,In Stock,EcoBrand
3998,EcoSmart Energy-Efficient Speaker,Electronics,Low-Waste,39.89,31.24,Partially Sustainable,Low,Energy Star,ISO 14001,Recyclable,484.13,In Stock,NaturePro
42189,EcoSmart Biodegradable Sleeping Bag,Outdoor,Organic,38.86,57.06,Non-Sustainable,Low,Energy Star,ISO 14001,Organic,224.7,Out of Stock,EnviroGoods
33695,GreenLife Organic Soap,Beauty,Organic,23.67,44.45,Non-Sustainable,High,Fair Trade,ISO 14001,Low Carbon,79.19,In Stock,SustainCo
1614,GreenLife LED Light Bulb,Electronics,Renewable Material,47.16,64.83,Sustainable,Low,Fair Trade,None,Energy Efficient,309.51,Out of Stock,GreenChoice
9406,GreenLife Organic Soap,Beauty,Biodegradable,75.76,156.58,Partially Sustainable,Medium,FSC,ISO 14001,Recyclable,363.51,Out of Stock,GreenChoice
5965,EcoEssentials Recycled Notebook,Office Supplies,Low-Waste,20.35,138.63,Partially Sustainable,High,Energy Star,ISO 14001,Low Carbon,11.7,Out of Stock,CleanEarth
20232,EcoSmart Aloe Vera Gel,Beauty,Renewable Material,84.9,141.76,Sustainable,Low,Energy Star,ISO 14001,Recyclable,350.94,In Stock,CleanEarth
23970,PureEarth Recycled Paper,Office Supplies,Biodegradable,49.86,24.35,Non-Sustainable,High,Energy Star,None,Organic,349.08,In Stock,EnviroGoods
